Member ID,Check-in Date
MEM0000,2023-09-08
MEM0000,2024-08-18
MEM0000,2023-12-10
MEM0000,2024-04-04
MEM0000,2024-08-10
MEM0000,2023-08-05
MEM0000,2024-05-16
MEM0000,2023-08-17
MEM0000,2023-09-17
MEM0000,2024-03-13
MEM0000,2024-04-17
MEM0000,2024-09-12
MEM0000,2024-06-26
MEM0000,2024-05-29
MEM0000,2023-11-17
MEM0000,2024-02-10
MEM0000,2023-10-17
MEM0000,2024-08-11
MEM0000,2024-03-18
MEM0000,2023-05-31
MEM0000,2024-01-17
MEM0000,2024-11-20
MEM0000,2024-08-26
MEM0000,2023-07-07
MEM0000,2024-10-01
MEM0000,2024-08-27
MEM0000,2023-11-15
MEM0000,2024-11-22
MEM0000,2024-11-26
MEM0000,2024-01-08
MEM0000,2024-09-25
MEM0000,2023-09-17
MEM0000,2024-09-05
MEM0000,2023-05-30
MEM0000,2023-10-23
MEM0000,2024-02-07
MEM0000,2024-05-31
MEM0000,2024-12-30
MEM0000,2024-03-20
MEM0000,2023-05-23
MEM0000,2024-01-06
MEM0000,2024-04-19
MEM0000,2024-11-24
MEM0000,2024-04-13
MEM0000,2023-08-09
MEM0000,2024-05-10
MEM0000,2024-08-06
MEM0000,2024-07-10
MEM0000,2024-09-29
MEM0000,2023-06-13
MEM0000,2023-12-01
MEM0000,2023-07-29
MEM0000,2024-11-21
MEM0000,2024-05-31
MEM0000,2023-05-11
MEM0000,2024-06-02
MEM0000,2024-11-25
MEM0000,2023-08-23
MEM0000,2024-08-28
MEM0000,2024-06-14
MEM0001,2024-07-06
MEM0001,2024-06-03
MEM0001,2024-12-05
MEM0001,2024-12-11
MEM0001,2024-04-08
MEM0001,2024-05-15
MEM0001,2024-03-14
MEM0001,2024-06-28
MEM0001,2024-04-06
MEM0001,2024-04-01
MEM0001,2024-04-30
MEM0001,2024-08-09
MEM0001,2024-09-07
MEM0001,2023-10-29
MEM0001,2024-06-12
MEM0001,2024-10-20
MEM0001,2024-04-10
MEM0001,2024-05-15
MEM0001,2024-03-12
MEM0001,2024-09-20
MEM0001,2023-10-17
MEM0001,2024-02-10
MEM0001,2023-09-21
MEM0001,2024-07-03
MEM0001,2023-11-10
MEM0001,2024-08-16
MEM0001,2024-07-29
MEM0001,2023-09-15
MEM0001,2024-08-15
MEM0001,2024-01-13
MEM0001,2024-01-20
MEM0001,2024-12-21
MEM0001,2023-11-08
MEM0001,2024-01-23
MEM0001,2023-11-26
MEM0001,2024-10-02
MEM0001,2024-02-16
MEM0001,2024-10-29
MEM0001,2024-06-21
MEM0001,2024-09-19
MEM0001,2024-05-24
MEM0001,2024-04-24
MEM0001,2023-10-17
MEM0001,2023-10-04
MEM0001,2024-01-19
MEM0001,2024-03-25
MEM0001,2024-07-30
MEM0001,2024-05-31
MEM0001,2024-10-28
MEM0001,2023-10-09
MEM0001,2023-10-24
MEM0001,2024-10-17
MEM0001,2023-11-07
MEM0001,2024-04-09
MEM0001,2024-06-25
MEM0001,2023-12-14
MEM0001,2024-02-25
MEM0001,2024-08-31
MEM0001,2024-04-07
MEM0001,2024-12-24
MEM0001,2023-10-11
MEM0001,2024-11-28
MEM0001,2024-04-20
MEM0001,2023-12-16
MEM0001,2024-11-10
MEM0001,2024-12-11
MEM0001,2024-01-15
MEM0001,2024-05-20
MEM0001,2023-09-11
MEM0001,2024-04-11
MEM0001,2024-05-18
MEM0001,2024-10-08
MEM0001,2024-08-30
MEM0001,2024-06-15
MEM0001,2024-10-03
MEM0001,2024-03-31
MEM0001,2023-09-21
MEM0001,2024-08-17
MEM0001,2023-10-18
MEM0001,2024-09-20
MEM0001,2024-12-10
MEM0001,2024-03-03
MEM0001,2023-11-08
MEM0001,2024-08-23
MEM0001,2024-04-24
MEM0001,2024-05-04
MEM0001,2023-10-28
MEM0001,2023-12-11
MEM0001,2024-09-28
MEM0001,2024-04-15
MEM0001,2024-10-17
MEM0001,2024-04-24
MEM0001,2024-04-30
MEM0001,2024-01-27
MEM0001,2024-02-24
MEM0001,2023-10-05
MEM0001,2023-10-12
MEM0001,2023-09-19
MEM0001,2024-02-13
MEM0001,2024-07-29
MEM0001,2024-03-11
MEM0001,2024-05-06
MEM0001,2023-12-01
MEM0001,2024-06-16
MEM0001,2023-11-11
MEM0001,2024-02-23
MEM0001,2023-10-21
MEM0001,2023-11-07
MEM0001,2024-11-20
MEM0001,2024-01-18
MEM0001,2024-06-16
MEM0001,2023-10-04
MEM0001,2023-12-23
MEM0001,2023-10-20
MEM0001,2024-08-11
MEM0001,2024-06-18
MEM0001,2024-11-25
MEM0001,2024-08-02
MEM0001,2024-01-12
MEM0001,2024-08-19
MEM0001,2024-12-22
MEM0001,2024-04-24
MEM0001,2024-03-14
MEM0001,2024-04-18
MEM0001,2024-09-25
MEM0001,2024-09-17
MEM0001,2024-06-15
MEM0001,2024-11-25
MEM0001,2024-01-05
MEM0001,2023-12-31
MEM0001,2024-12-10
MEM0001,2024-04-26
MEM0001,2024-05-22
MEM0001,2024-08-30
MEM0002,2024-01-15
MEM0002,2024-06-03
MEM0002,2024-09-09
MEM0002,2024-01-14
MEM0002,2023-09-16
MEM0002,2024-10-04
MEM0002,2024-08-10
MEM0002,2024-12-10
MEM0002,2024-02-18
MEM0002,2024-10-17
MEM0002,2024-06-15
MEM0002,2024-06-16
MEM0002,2023-09-16
MEM0002,2023-08-15
MEM0002,2023-09-16
MEM0002,2023-05-28
MEM0002,2024-01-01
MEM0002,2024-12-12
MEM0002,2024-01-06
MEM0002,2024-06-14
MEM0002,2024-07-02
MEM0002,2023-10-03
MEM0002,2023-07-18
MEM0002,2024-07-15
MEM0002,2024-01-28
MEM0002,2024-08-07
MEM0002,2023-12-15
MEM0002,2023-11-26
MEM0002,2023-09-26
MEM0002,2024-06-30
MEM0002,2024-03-15
MEM0002,2024-03-01
MEM0002,2023-12-10
MEM0002,2024-10-18
MEM0002,2023-10-17
MEM0002,2023-12-13
MEM0002,2023-09-27
MEM0002,2023-11-29
MEM0002,2024-04-16
MEM0002,2024-09-01
MEM0002,2024-05-09
MEM0002,2024-07-02
MEM0002,2024-05-06
MEM0002,2024-10-18
MEM0002,2023-10-20
MEM0002,2023-10-21
MEM0002,2024-09-26
MEM0002,2024-11-27
MEM0002,2024-04-28
MEM0002,2024-09-10
