Member ID,Gender,Age,Join Date,Cancel Date,Trainer Assigned
MEM0000,Other,32,2023-05-10,,Trainer A
MEM0001,Female,27,2023-09-07,,Trainer B
MEM0002,Female,26,2023-05-27,,Trainer A
MEM0003,Female,42,2023-05-03,2024-04-19,Trainer C
MEM0004,Male,33,2023-03-08,2023-11-29,Trainer C
MEM0005,Male,40,2023-08-16,,Trainer C
MEM0006,Female,25,2023-11-13,,Trainer A
MEM0007,Female,42,2023-05-17,,Trainer C
MEM0008,Male,19,2023-06-07,,Trainer B
MEM0009,Female,22,2023-01-06,2023-05-09,Trainer B
MEM0010,Female,53,2023-01-19,,Trainer C
MEM0011,Male,23,2023-03-08,,Trainer A
MEM0012,Male,29,2023-08-20,,Trainer A
MEM0013,Female,38,2023-04-01,,Trainer B
MEM0014,Female,25,2023-03-25,2023-09-07,Trainer C
MEM0015,Female,32,2023-11-01,,Trainer C
MEM0016,Other,48,2023-08-07,2024-03-11,Trainer B
MEM0017,Female,35,2023-08-20,,Trainer B
MEM0018,Female,47,2023-06-02,,Trainer C
MEM0019,Female,28,2023-12-14,,Trainer B
MEM0020,Female,51,2023-06-01,,Trainer C
MEM0021,Other,48,2023-12-12,,Trainer C
MEM0022,Female,19,2023-02-02,,Trainer A
MEM0023,Female,30,2023-06-09,,Trainer A
MEM0024,Female,32,2023-04-19,,Trainer A
MEM0025,Male,40,2023-08-16,,Trainer C
MEM0026,Other,38,2023-05-21,,Trainer B
MEM0027,Other,48,2023-02-22,2023-04-12,Trainer B
MEM0028,Male,22,2023-05-01,2024-03-27,Trainer A
MEM0029,Male,44,2023-08-10,,Trainer A
MEM0030,Other,26,2023-11-09,,Trainer B
MEM0031,Female,40,2023-03-21,,Trainer A
MEM0032,Female,57,2023-05-01,,Trainer B
MEM0033,Male,45,2023-05-02,2023-08-21,Trainer A
MEM0034,Male,48,2023-08-21,,Trainer A
MEM0035,Other,34,2023-03-11,2023-08-26,Trainer B
MEM0036,Other,46,2023-02-14,,Trainer A
MEM0037,Male,30,2023-03-02,,Trainer A
MEM0038,Male,55,2023-02-05,,Trainer B
MEM0039,Other,28,2023-09-08,,Trainer B
MEM0040,Female,45,2023-12-06,,Trainer C
MEM0041,Other,31,2023-02-05,,Trainer B
MEM0042,Male,18,2023-03-18,,Trainer C
MEM0043,Other,53,2023-02-14,,Trainer B
MEM0044,Other,47,2023-12-02,,Trainer B
MEM0045,Male,40,2023-01-01,,Trainer C
MEM0046,Female,19,2023-11-25,2024-08-12,Trainer B
MEM0047,Female,39,2023-06-04,2024-05-02,Trainer C
MEM0048,Male,56,2023-10-16,2024-06-23,Trainer C
MEM0049,Female,54,2023-01-12,2023-02-23,Trainer B
MEM0050,Female,38,2023-04-24,2023-10-18,Trainer A
MEM0051,Other,18,2023-02-02,2023-08-05,Trainer B
MEM0052,Female,19,2023-07-20,,Trainer C
MEM0053,Female,32,2023-03-03,2023-04-15,Trainer A
MEM0054,Other,19,2023-07-01,,Trainer C
MEM0055,Male,35,2023-09-06,,Trainer C
MEM0056,Female,58,2023-09-01,2024-05-29,Trainer B
MEM0057,Other,44,2023-12-14,,Trainer B
MEM0058,Other,18,2023-03-04,,Trainer B
MEM0059,Other,45,2023-08-21,2024-08-18,Trainer C
MEM0060,Male,38,2023-08-08,,Trainer A
MEM0061,Male,26,2023-05-17,,Trainer B
MEM0062,Other,40,2023-02-25,,Trainer C
MEM0063,Other,41,2023-12-03,,Trainer B
MEM0064,Male,21,2023-01-02,,Trainer B
MEM0065,Other,39,2023-05-23,2023-08-22,Trainer B
MEM0066,Other,23,2023-09-01,,Trainer B
MEM0067,Other,35,2023-05-06,,Trainer C
MEM0068,Female,34,2023-12-17,2024-04-03,Trainer B
MEM0069,Other,37,2023-07-04,2024-06-03,Trainer C
MEM0070,Other,51,2023-03-19,,Trainer C
MEM0071,Male,58,2023-01-01,,Trainer B
MEM0072,Male,46,2023-04-13,,Trainer C
MEM0073,Male,38,2023-09-26,,Trainer A
MEM0074,Other,18,2023-06-20,2023-10-26,Trainer A
MEM0075,Other,49,2023-01-17,,Trainer C
MEM0076,Male,40,2023-08-19,,Trainer B
MEM0077,Female,38,2023-08-15,,Trainer B
MEM0078,Other,45,2023-12-22,,Trainer A
MEM0079,Female,41,2023-02-16,,Trainer A
MEM0080,Female,35,2023-11-27,,Trainer A
MEM0081,Male,46,2023-07-06,,Trainer B
MEM0082,Female,23,2023-06-09,,Trainer C
MEM0083,Other,19,2023-06-25,2023-12-31,Trainer B
MEM0084,Male,36,2023-03-12,,Trainer A
MEM0085,Other,47,2023-01-27,2023-10-01,Trainer A
MEM0086,Female,28,2023-11-06,,Trainer C
MEM0087,Female,39,2023-09-22,,Trainer C
MEM0088,Female,35,2023-01-09,,Trainer B
MEM0089,Female,55,2023-07-16,,Trainer A
MEM0090,Male,33,2023-08-21,,Trainer B
MEM0091,Male,59,2023-10-05,2023-11-28,Trainer A
MEM0092,Male,37,2023-03-14,,Trainer C
MEM0093,Male,18,2023-03-16,,Trainer C
MEM0094,Male,39,2023-01-22,2024-01-11,Trainer C
MEM0095,Male,18,2023-09-06,2024-01-19,Trainer B
