City,Locality,BHK,total_sqft,price,price_per_sqft
Bangalore,Electronic City Phase II,2.0,1056.0,39.07,3699.810606060606
Bangalore,Chikka Tirupathi,4.0,2600.0,120.0,4615.384615384615
Bangalore,Uttarahalli,3.0,1440.0,62.0,4305.555555555556
Bangalore,Lingadheeranahalli,3.0,1521.0,95.0,6245.890861275477
Bangalore,Kothanur,2.0,1200.0,51.0,4250.0
Bangalore,Whitefield,2.0,1170.0,38.0,3247.863247863248
Bangalore,Old Airport Road,4.0,2732.0,204.0,7467.0571010248905
Bangalore,Rajaji Nagar,4.0,3300.0,600.0,18181.81818181818
Bangalore,Marathahalli,3.0,1310.0,63.25,4828.244274809161
Bangalore,Gandhi Bazar,6.0,1020.0,370.0,36274.509803921566
Bangalore,Whitefield,3.0,1800.0,70.0,3888.8888888888887
Bangalore,Whitefield,4.0,2785.0,295.0,10592.45960502693
Bangalore,7th Phase JP Nagar,2.0,1000.0,38.0,3800.0
Bangalore,Gottigere,2.0,1100.0,40.0,3636.3636363636365
Bangalore,Sarjapur,3.0,2250.0,148.0,6577.777777777777
Bangalore,Mysore Road,2.0,1175.0,73.5,6255.31914893617
Bangalore,Bisuvanahalli,3.0,1180.0,48.0,4067.7966101694915
Bangalore,Raja Rajeshwari Nagar,3.0,1540.0,60.0,3896.103896103896
Bangalore,Ramakrishnappa Layout,3.0,2770.0,290.0,10469.314079422382
Bangalore,Manayata Tech Park,2.0,1100.0,48.0,4363.636363636364
Bangalore,Kengeri,1.0,600.0,15.0,2500.0
Bangalore,Binny Pete,3.0,1755.0,122.0,6951.5669515669515
Bangalore,Thanisandra,4.0,2800.0,380.0,13571.42857142857
Bangalore,Bellandur,3.0,1767.0,103.0,5829.088851160159
Bangalore, Thanisandra,1.0,510.0,25.25,4950.980392156863
Bangalore,Mangammanapalya,3.0,1250.0,56.0,4480.0
Bangalore,Electronic City,2.0,660.0,23.1,3500.0
Bangalore,Whitefield,3.0,1610.0,81.0,5031.055900621118
Bangalore,Ramagondanahalli,2.0,1151.0,48.77,4237.185056472633
Bangalore,Electronic City,3.0,1025.0,47.0,4585.365853658536
Bangalore,Yelahanka,4.0,2475.0,186.0,7515.151515151515
Bangalore,Bisuvanahalli,3.0,1075.0,35.0,3255.813953488372
Bangalore,Hebbal,3.0,1760.0,123.0,6988.636363636364
Bangalore,Raja Rajeshwari Nagar,3.0,1693.0,57.39,3389.84051978736
Bangalore,Kasturi Nagar,3.0,1925.0,125.0,6493.506493506494
Bangalore,Kanakpura Road,2.0,700.0,36.0,5142.857142857143
Bangalore,Electronics City Phase 1,2.0,1070.0,45.5,4252.336448598131
Bangalore,Kundalahalli,3.0,1724.0,125.0,7250.580046403712
Bangalore,Chikkalasandra,3.0,1290.0,56.12,4350.387596899225
Bangalore,Uttarahalli,2.0,1143.0,45.0,3937.0078740157483
Bangalore,Murugeshpalya,2.0,1296.0,81.0,6250.0
Bangalore,Sarjapur  Road,3.0,1254.0,38.0,3030.3030303030305
Bangalore,Ganga Nagar,1.0,600.0,38.0,6333.333333333333
Bangalore,Yelahanka,1.0,660.0,48.0,7272.727272727273
Bangalore,Kanakpura Road,2.0,1330.74,91.79,6897.665960292769
Bangalore,HSR Layout,8.0,600.0,200.0,33333.333333333336
Bangalore,Doddathoguru,2.0,970.0,33.0,3402.061855670103
Bangalore,Whitefield,2.0,1459.0,94.82,6498.971898560658
Bangalore,KR Puram,2.0,800.0,130.0,16250.0
Bangalore,Himagiri Meadows,2.0,869.0,36.0,4142.692750287687
Bangalore,Adarsh Nagar,2.0,1270.0,50.0,3937.0078740157483
Bangalore,Bhoganhalli,3.0,1670.0,99.0,5928.143712574851
Bangalore,Whitefield,3.0,2010.0,91.0,4527.363184079602
Bangalore,Lakshminarayana Pura,2.0,1185.0,75.0,6329.113924050633
Bangalore,Yelahanka,3.0,1600.0,75.0,4687.5
Bangalore,Begur Road,2.0,1200.0,44.0,3666.6666666666665
Bangalore,Devanahalli,4.0,3210.0,192.0,5981.308411214954
Bangalore,Ramakrishnappa Layout,2.0,1500.0,185.0,12333.333333333334
Bangalore,Murugeshpalya,6.0,1407.0,150.0,10660.980810234541
Bangalore,Govindaraja Nagar Ward,2.0,840.0,45.0,5357.142857142857
Bangalore,Tharabanahalli,3.0,4395.0,240.0,5460.750853242321
Bangalore,Ganga Nagar,2.0,845.0,55.0,6508.87573964497
Bangalore,Whitefield,4.0,5700.0,650.0,11403.508771929824
Bangalore,Varthur,2.0,1160.0,44.0,3793.103448275862
Bangalore,Bommanahalli,8.0,3000.0,140.0,4666.666666666667
Bangalore,Doddathoguru,2.0,1100.0,62.0,5636.363636363636
Bangalore,Gunjur,2.0,1140.0,43.0,3771.9298245614036
Bangalore,Marathahalli,2.0,1220.0,57.0,4672.131147540984
Bangalore,Devarachikkanahalli,8.0,1350.0,85.0,6296.2962962962965
Bangalore,Kanakpura Road,2.0,1005.0,36.68,3649.7512437810947
Bangalore,Double Road,3.0,500.0,100.0,20000.0
Bangalore,Begur Road,2.0,1358.0,80.58,5933.726067746687
Bangalore,Hegde Nagar,3.0,1569.0,101.0,6437.221159974506
Bangalore,Haralur Road,2.0,1240.0,70.0,5645.1612903225805
